house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,301022,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Well designed 3 bhk builder floor is available at a prime location in Sarvodaya Enclave. It has an area of 2856 sqft with a carpet area of 1652 sqft . The property is available at a monthly rental of Rs. 3.01 lac . The house is unfurnished. It is on the 3rd floor of the building (total number of floors are 4). It is facing east direction. The property has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ," 10,10,201",Unfurnished,3,BHK,2856.0,3510.05
Independent Floor ,Moti Nagar,Delhi,28.66234589,77.14108276,18000,INR,1.0,2.0,Not Negotiable,0.23,Posted a year ago,"2BHK Located in Moti Nagar, 
Near to metro station, 5 min walking, 
located close to market area, school, hospital
2 bedrooms with availability of one king size bed, 1 sofa set (3+2), kitchen, 1 bathroom, 1 washroom."," 18,000",Semi-Furnished,2,BHK,900.0,209.89
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,401015,INR,4.0,2.0,Not Negotiable,0.79,Posted a year ago,Its four bhk builder floor in the super location of delhi south sarvoday enclave it is the super location road bank atm school college all r on wlking destance," 10,20,202",Unfurnished,4,BHK,5896.0,4676.01
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,401012,INR,4.0,2.0,Not Negotiable,0.67,Posted a year ago,"A 5 bhk property is available for rent in Sarvodaya Enclave, Delhi. It has area of 6952 sqft and is available at a rent of Rs. 4.01 lac. It is an unfurnished property. It is on 3rd floor. The building has a total of 4 floor(s). It is east facing property. The property has 4 bathrooms and 2 balconies. It is well connected to the city areas. Kindly call us for details. "," 10,10,202",Unfurnished,5,BHK,6952.0,4675.98
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,301012,INR,4.0,3.0,Not Negotiable,0.6,Posted a year ago,"It has an area of 5896 sqft with a carpet area of 3621 sqft . The property is available at a monthly rental of Rs. 3.01 lac . It is an unfurnished property. It is located on the 3rd floor(out of a total of 4 floor(s)). It is east facing property. If you are interested, please contact us for more details. "," 18,10,202",Unfurnished,4,BHK,5896.0,3509.93
Independent Floor ,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,301011,INR,4.0,2.0,Not Negotiable,0.77,Posted a year ago,Its four bhk builder floor in the super location of delhi south sarvoday enclave it is the super location road bank atm school collegeball r on walking destanve," 10,10,101",Unfurnished,4,BHK,4562.0,3509.92
Independent Floor ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,301022,INR,4.0,2.0,Not Negotiable,0.6,Posted a year ago,Itâs a 4 bhk builder floor situated in Geetanjali Enclave. It has a built-up area of 5896 sqft and is available for rent at Rs. 3.01 lac per month . It is located on the 2nd floor(out of a total of 3 floor(s)). It is west facing property. The society is well connected by different modes of transportation. ," 10,10,200",Unfurnished,4,BHK,5896.0,3510.05
Villa ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,549191,INR,4.0,2.0,Not Negotiable,1.09,Posted a year ago,"This spacious 4 bhk villa is available for rental and is located in the heart of Geetanjali Enclave. It is an unfurnished property. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. "," 15,49,191",Unfurnished,4,BHK,5896.0,6403.81
Independent House ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,546165,INR,4.0,2.0,Not Negotiable,0.98,Posted a year ago,Itâs a 5 bhk independent house situated in Geetanjali Enclave. It has an area of 6521 sqft with a carpet area of 4011 sqft . The property is available at a monthly rental of Rs. 5.46 lac . It is an unfurnished property. Its main door is facing east direction. It has 4 bathrooms and 2 balconies. ," 15,49,194",Unfurnished,5,BHK,6521.0,6368.53
Villa ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,401012,INR,4.0,2.0,Not Negotiable,0.79,Posted a year ago,Its four bhk house in the super location of delhi south geetanjli enclave it is the super location road bank atm school college all r on walking destance," 10,12,002",Unfurnished,4,BHK,5896.0,4675.98
